mutant_id,project,version,class_name,method_name,line_number,mutation_operator,original_code,mutated_code,surrounding_context,random_seed
JacksonCore_9f_mutant_2737,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,nextToken,609,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,return (_currToken = JsonToken.END_OBJECT);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,"  606:                 _reportMismatchedEndMarker(i, ']');
  607:             }
  608:             _parsingContext = _parsingContext.getParent();
>>609:             return (_currToken = JsonToken.END_OBJECT);
  610:         }
  611: 
  612:         // Nope: do we then expect a comma?",2026
JacksonCore_3f_mutant_1181,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,growArrayBy,3129,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (arr == null) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  3126: 
  3127:     public static int[] growArrayBy(int[] arr, int more)
  3128:     {
>>3129:         if (arr == null) {
  3130:             return new int[more];
  3131:         }
  3132:         return Arrays.copyOf(arr, arr.length + more);",2026
JacksonCore_3f_mutant_348,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_handleOddName,1818,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (_inputPtr >= _inputEnd) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1815:                 currQuad = ch;
  1816:                 currQuadBytes = 1;
  1817:             }
>>1818:             if (_inputPtr >= _inputEnd) {
  1819:                 if (!loadMore()) {
  1820:                     _reportInvalidEOF("" in field name"");
  1821:                 }",2026
JacksonCore_2f_mutant_2207,JacksonCore,2f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,nextLongValue,779,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,return defaultValue;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,"  776:             } else if (t == JsonToken.START_OBJECT) {
  777:                 _parsingContext = _parsingContext.createChildObjectContext(_tokenInputRow, _tokenInputCol);
  778:             }
>>779:             return defaultValue;
  780:         }
  781:         // !!! TODO: optimize this case as well
  782:         return (nextToken() == JsonToken.VALUE_NUMBER_INT) ? getLongValue() : defaultValue;",2026
JacksonCore_9f_mutant_961,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_skipColonFast,1074,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,return i;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,"  1071:             if (i > INT_SPACE) { // nor trailing
  1072:                 if (i != INT_SLASH && i != INT_HASH) {
  1073:                     _inputPtr = ptr;
>>1074:                     return i;
  1075:                 }
  1076:             } else if (i == INT_SPACE || i == INT_TAB) {
  1077:                 i = (int) _inputBuffer[ptr++];",2026
JacksonCore_2f_mutant_820,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_skipColon,2623,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (i > INT_SPACE && i != INT_SLASH) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  2620:         if (i == INT_COLON) {
  2621:             if (_inputPtr < _inputEnd) {
  2622:                 i = _inputBuffer[_inputPtr] & 0xFF;
>>2623:                 if (i > INT_SPACE && i != INT_SLASH) {
  2624:                     ++_inputPtr;
  2625:                     return i;
  2626:                 }",2026
JacksonCore_9f_mutant_1733,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_decodeBase64,2207,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (_inputPtr >= _inputEnd) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  2204:             decodedData = (decodedData << 6) | bits;
  2205: 
  2206:             // third base64 char; can be padding, but not ws
>>2207:             if (_inputPtr >= _inputEnd) {
  2208:                 loadMoreGuaranteed();
  2209:             }
  2210:             ch = _inputBuffer[_inputPtr++];",2026
JacksonCore_9f_mutant_38,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_decodeBase64,3606,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,decodedData = (decodedData << 6) | bits;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  3603:                 }
  3604:             }
  3605:             // otherwise, our triplet is now complete
>>3606:             decodedData = (decodedData << 6) | bits;
  3607:             builder.appendThreeBytes(decodedData);
  3608:         }
  3609:     }",2026
JacksonCore_3f_mutant_1082,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,addName,2083,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,ch2 = (ch2 >> ((3 - byteIx) << 3));,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2080:                     if (needed > 2) { // 4 bytes? (need surrogates on output)
  2081:                         ch2 = quads[ix >> 2];
  2082:                         byteIx = (ix & 3);
>>2083:                         ch2 = (ch2 >> ((3 - byteIx) << 3));
  2084:                         ++ix;
  2085:                         if ((ch2 & 0xC0) != 0x080) {
  2086:                             _reportInvalidOther(ch2 & 0xFF);",2026
JacksonCore_3f_mutant_1071,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,addName,2072,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,byteIx = (ix & 3);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2069:                 ch = (ch << 6) | (ch2 & 0x3F);
  2070:                 if (needed > 1) {
  2071:                     ch2 = quads[ix >> 2];
>>2072:                     byteIx = (ix & 3);
  2073:                     ch2 = (ch2 >> ((3 - byteIx) << 3));
  2074:                     ++ix;
  2075: ",2026
JacksonCore_10f_mutant_251,JacksonCore,10f,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,addName,804,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,_names[offset >> 2] = name;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  801:         _hashArea[offset+1] = q2;
  802:         _hashArea[offset+2] = q3;
  803:         _hashArea[offset+3] = 3;
>>804:         _names[offset >> 2] = name;
  805:         ++_count;
  806:         _verifyNeedForRehash();
  807:         return name;",2026
