ID,Title,Author,Venue,SearchString,v1_decision,v1_reason,v2_decision,v2_reason
1,A Comprehensive Study on Large Language Models for Mutation Testing,"Wang, Bo; Chen, Mingda; Deng, Ming; Lin, Youfang; Harman, Mark; Papadakis, Mike; Zhang, Jie M.",ACM Transactions on Software Engineering and Methodology,String A,INCLUDE,"Relevant: evaluates LLM-based mutant generation for mutation testing with Java bug benchmarks and quantitative outcomes such as real bug detection, compilability, duplicate and equivalent mutant rates.",INCLUDE,"Full text is in English, 2025+ and appears as ACM TOSEM/preprint version. It directly studies LLM-based mutation testing, mutant generation quality, Java bug benchmarks, and quantitative outcomes such as real bug detection, non-compilability, duplication and equivalent mutant rates."
2,Boosting LLMs for Mutation Generation,"Wang, Bo; Deng, Ming; Chen, Mingda; Yang, Chengran; Lin, Youfang; Harman, Mark; Papadakis, Mike; Zhang, Jie M.",,String A,INCLUDE,"Relevant: proposes SMART, an LLM/RAG/fine-tuned mutation generation approach evaluated on Java bugs with quantitative results on validity, duplicate rate, compilability, efficiency, bug detection and fault localization.",INCLUDE,"Full text directly proposes SMART for LLM-based mutation generation using RAG and fine-tuning, evaluates on Java real-world bug benchmarks, compares with LLMut/LLMorpheus, and reports quantitative validity, duplicate, compilability, efficiency, bug detection and fault-localization outcomes."
3,Mutation-guided unit test generation with a large language model,"Wang, Guancheng; Xu, Qinghua; Briand, Lionel; Liu, Kui",IEEE Transactions on Software Engineering,String A,INCLUDE,Relevant: proposes mutation-guided LLM-based unit test generation and evaluates it with mutation score against EvoSuite and vanilla prompting; directly connects LLMs with mutation testing outcomes.,INCLUDE,"Full text proposes MUTGEN, a mutation-guided LLM-based unit test generation approach using mutation feedback. It is empirically evaluated on benchmark subjects against EvoSuite and vanilla prompting with mutation score and mutant-analysis outcomes."
4,TestAgentX: Leveraging Large Language Models and Reinforcement Learning for Scalable and Adaptive Software Testing,"Ashwitha, A.; Naresh, E.","2026 International Conference on Next-Gen Quantum and Advanced Computing: Algorithms, Security, and Beyond (NQComp)",String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
5,Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation,"Chang, Pengyu; Fang, Yixiong; Chen, Silin; Shi, Yuling; Shen, Beijun; Gu, Xiaodong",,String A,Unsure,"Related to LLM-powered test generation using a mutant generation agent and mutation score, but the main focus is adversarial test case generation rather than mutant selection/ranking or reduction compared with random selection.",EXCLUDE,"Excluded by IC4: The full text mainly focuses on adversarial LLM-based unit test generation. Although it uses mutants and mutation score, it does not study LLM-based mutant ranking/selection, mutant prioritization, or mutation-testing effort reduction against a random mutant-selection baseline."
6,GEM: A Framework for Strengthening LLM-Generated Unit Tests Using Mutation Feedback,"Celik, Arda; Mahmoud, Qusay H.",Congresso Ibero-Americano em Engenharia de Software (CIbSE),String A,INCLUDE,"Relevant: uses mutation feedback to strengthen LLM-generated unit tests and evaluates mutation-score improvement, directly connecting LLM-based testing with mutation testing effectiveness.",EXCLUDE,"Excluded by IC4: The study focuses on strengthening LLM-generated unit tests using mutation feedback. Mutation testing is used as an adequacy/evaluation signal, but the paper does not investigate AI-guided mutant selection/ranking or reduction of executed mutants compared with random selection."
7,SWE-Mutation: Can LLMs Generate Reliable Test Suites in Software Engineering?,"Sun, Yuxuan; Zhao, Yuze; Wang, Yufeng; Du, Yao; Ma, Zhiyuan; Wang, Jinbo; Zhang, Mengdi; Zhang, Kai; Huang, Zhenya",,String A,Unsure,"Related because it evaluates LLM-generated test suites using generated mutants and reports detection rates, but it is mainly an LLM benchmark/test-suite evaluation paper rather than mutation testing optimization or mutant selection.",EXCLUDE,"Excluded by IC4: The paper primarily evaluates whether LLMs can generate reliable test suites. Mutation score may be used as an evaluation metric, but the intervention is LLM-based test-suite generation rather than mutant ranking/selection or prioritization for reducing mutation-testing effort."
8,GEM-LLM: Identifying contextual equivalent mutants via large language models; A global invariant-based approach,"Tanhaei, Mohammad; Alizadehsani, Roohallah",Intelligent Systems with Applications,String A,INCLUDE,"Relevant: applies LLMs to identify contextual equivalent mutants in mutation testing and reports quantitative results on Defects4J, addressing mutation testing cost and mutation score accuracy.",INCLUDE,"Full text directly applies LLMs to identify contextual equivalent mutants using invariants, addresses a core mutation-testing cost/quality problem, and includes empirical quantitative evaluation on mutation-testing datasets."
9,PITMuS: A Tool for Automated Bug Dataset Generation via Source-Level Mutant Reconstruction,"Tasnim, Tasfia; Hossain, Soneya Binta",,String A,EXCLUDE,"Excluded by IC4: the paper mainly presents a dataset/tool for reconstructing source-level mutants to support downstream LLM/software-engineering datasets, not an AI/ML/LLM-guided mutation testing approach.",,
10,A Proposed Model for Test Coverage Optimisation Using AI,"Thirukandiyur, Lakshmi Sravanya",Available at SSRN 6537638,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
11,Evaluating LLM-Based Test Generation Under Software Evolution,"Haroon, Sabaat; Khan, Mohammad Taha; Gulzar, Muhammad Ali",arXiv preprint arXiv:2603.23443,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
12,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang, Junwei; Hu, Xing; Gao, Cuiyun; Xia, Xin; Li, Shanping",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
13,Artificial Intelligence in Software Testing and Beyond: A Review of Current Practices and Emerging Challenges,"Lisaru, Codrina-Victoria; Kifor, Claudiu-Vasile",Acta Informatica Pragensia,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
14,SecMutBench: Evaluating LLM-Generated Security Tests via Mutation-Based Vulnerability Detection,"ALMutairi, Mariam",,String A,EXCLUDE,EC4: Not sufficiently related to mutation testing and AI-guided mutant selection based on title.,,
15,MuMuTestUp: Mutation-based Multi-Agent Test Case Update,"Tian, Dawei; Liu, Jiakun; Peng, Yun; Zhang, Yichen; Chi, Jianlei; Sun, Jun; Su, Xiaohong",arXiv preprint arXiv:2605.19265,String A,EXCLUDE,EC4: Not sufficiently related to mutation testing and AI-guided mutant selection based on title.,,
16,Test case generation using large language models: a systematic literature review,"Tasarsu, Murat; Tokmak, Ahmet Vedat; Catal, Cagatay",Cluster Computing,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
17,Evaluating the Effectiveness of LLM-Generated Unit Tests in the Context of Industrial DBMS,"Bekmyradov, Vekilmuhammet",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
18,Improving the Quality of GitHub Copilot Generated Unit Tests,"Schallermayer, Max; Schnappinger, Markus",Software Architecture as the Backbone of Software Quality,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
19,Improving Random Test Generation via AI-Generated Seed Sequences,"Zangaria, Mohammad; Awad, Aiman",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
20,Evaluating the Complex Reasoning and Performance Capabilities of Large Language Models for Test Case Generation: A Learning-Based Software Testing Suite for Benchmarking Generative AI in Automated Test Case Generation,"Bala Mahalingam, Vijay; Parthasarathy, Harish; Baskaran, Aakash; Chandrasekaran, Bharath; Rajeshkumar, Muthukrishnan",Proceedings of the 2026 10th International Conference on Control Engineering and Artificial Intelligence,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
21,A quantized LLM driven framework for automated software testing,"Ahmed, Rashed",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
22,"Methodological pitfalls in predictive mutation testing: threats, impact and open challenges","Delgado-Pérez, Pedro; Balderas-Díaz, Sara; Medina-Bulo, Inmaculada; Guerrero-Contreras, Gabriel",Automated Software Engineering,String A,INCLUDE,Relevant: focuses on predictive mutation testing using predictive models to reduce mutation testing cost and includes empirical validation of methodological threats and impacts.,INCLUDE,"Full text focuses on predictive mutation testing, a learning-based approach for reducing mutation-testing cost, and provides an empirical methodological analysis of PMT threats, impacts and open challenges with quantitative evidence."
23,Automatic Generation and Evaluation of Programming Questions from Source Code,"Alshboul, Jawad Ahmad Qasem",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
24,Generative AI in Software Testing: Current Trends and Future Directions,"Singla, Tanish; Mahmoud, Qusay H.",arXiv preprint arXiv:2603.02141,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
25,Prompt engineering in LLMs for automated unit test generation: A large-scale study,"Ouédraogo, Wendkûuni C.; Kaboré, Abdoul Kader; Li, Yinghua; Tian, Haoye; Koyuncu, Anil; Klein, Jacques; Lo, David; Bissyandé, Tegawendé F.",Empirical Software Engineering,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
26,AutoJML: Generation and Verification of JML Specifications Using LLM Agents,"Ayon, Ragib Shahariar; Ahmed, Shibbir",IEEE pulse,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
27,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Lu, Zeyu; Zhang, Peng; Nie, Yuge; Yang, Yibiao; Tang, Yutian; Chong, Chun Yong; Zhou, Yuming",Proceedings of the ACM on Programming Languages,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
28,INTEGRATION OF ARTIFICIAL IN℡LIGENCE TOOLS INTO AUTOMATED SOFTWARE TESTING: INCREASING ACCURACY AND EFFICIENCY,"Zadorozhnii, A. V.",ВЧЕНІ ЗАПИСКИ,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
29,Exploring the Potential of Large Language Models in Simulink-Stateflow Mutant Generation,"Valle, Pablo; Ali, Shaukat; Arrieta, Aitor",arXiv preprint arXiv:2602.04066,String A,INCLUDE,"Relevant: investigates LLM-based mutant generation, compares prompting strategies across multiple LLMs, and reports quantitative results on mutant quality, speed, duplicates and equivalent mutants.",EXCLUDE,"Excluded by IC4 / scope mismatch: The paper addresses LLM-based mutant generation for Simulink-Stateflow models, not Java projects. It does not evaluate LLM-based mutant selection/ranking on Java mutation testing or compare effort reduction with random mutant selection."
30,"Adaptive and AI-Augmented Security Testing: A Systematic Survey of Program Analysis, Feedback-Driven Testing, and Hybrid Learning-Based Approaches","Wienczkowski, Michael",arXiv preprint arXiv:2604.27000,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
31,"Automated and Effective Metamorphic Testing: Relation Discovery, Deduction, and Generation","Xu, Congying",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
32,AI-Driven Software Development: A New Course Concept and Assessment Model for the Era of Large Language Models,"Fein, Benedikt; Fraser, Gordon; Herbold, Steffen",International Conference on Software Engineering–Software Engineering Education Track (ICSE-SEET),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
33,PR-Aware Automated Unit Test Generation: Challenges and Opportunities,"Haratian, Vahid; Akar, Atakan; Çakar, Berk; Tüzün, Eray",arXiv preprint arXiv:2605.25285,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
34,Impact of code context and prompting strategies on automated unit test generation with modern general-purpose large language models,"Walczak, Jakub; Tomalak, Piotr; Laskowski, Artur",Journal of Systems and Software,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
35,PreventativeTestPro: A Scalable Hybrid Testing Framework Utilizing Observability and Generative AI for Proactive Software Quality Engineering,"Patel, Soham; Patil, Kailas; Meshram, Vishal; Chumchu, Prawit",JoVE (Journal of Visualized Experiments),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
36,"Python Unit Tests Generation: A comparative Study on Claude Code, Cursor, GitHub Copilot and Amazon Q","Hassan, Moavia; Liu, Zhengli; Wang, Bangchao; Li, Bing; Wang, Jian","Cursor, GitHub Copilot and Amazon Q",String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
37,A semantic mutation metric for metamorphic relation adequacy in scientific computing programs,"Li, Meng; Yang, Xiaohua; Liu, Jie; Yan, Shiyu",arXiv preprint arXiv:2605.17437,String A,Unsure,"Related because it includes LLM-generated mutants and a semantic mutation metric, but the focus is metamorphic-relation adequacy in scientific computing rather than AI-guided mutant selection or standard mutation testing cost reduction.",EXCLUDE,"Excluded by IC4: The paper proposes/evaluates a semantic mutation metric for metamorphic relation adequacy in scientific computing. It is related to mutation analysis, but does not apply AI/ML/LLM-guided mutant selection/ranking and does not match the Java-project mutation-testing RQ."
38,Impact Assessment of Structured Results for the Reliability of LLM-generated Tests,"Zapkus, Dovydas Marius; Slotkienė, Asta","2026 Open Conference of Electrical, Electronic and Information Sciences (eStream)",String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
39,Fuzzing with Agents? Generators Are All You Need,"Vikram, Vasudev; Padhye, Rohan",arXiv preprint arXiv:2604.01442,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
40,Reliable Automatic Software Bug Fixing with Large Language Models: Challenges and Solutions,"Le, Cong Thanh",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
41,Automated test plan generation using large language models,"Haldar, Susmita; Capretz, Luiz Fernando",Software Quality Journal,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
42,Learning compiler fuzzing mutators from historical bugs,"Liu, Lingjun; Qin, F.; Legunsen, Owolabi; d'Amorim, A.",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
43,Natural language processing metrics efficiency for evaluating a generated code: facing the challenge,"Fedrushkov, Dmitriy V.; Kovalchuk, Sergey V.; Aliev, Artem A.","Научно-технический вестник информационных технологий, механики и оптики",String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
