project,version,class_name,count
Lang,8f,org.apache.commons.lang3.ArrayUtils,330
Lang,7f,org.apache.commons.lang3.ArrayUtils,330
Lang,9f,org.apache.commons.lang3.ArrayUtils,329
Lang,6f,org.apache.commons.lang3.ArrayUtils,322
Lang,10f,org.apache.commons.lang3.ArrayUtils,314
Lang,9f,org.apache.commons.lang3.text.StrBuilder,210
Lang,7f,org.apache.commons.lang3.text.StrBuilder,204
Lang,10f,org.apache.commons.lang3.text.StrBuilder,200
Lang,7f,org.apache.commons.lang3.StringUtils,193
Lang,6f,org.apache.commons.lang3.StringUtils,192
Lang,8f,org.apache.commons.lang3.text.StrBuilder,190
Lang,6f,org.apache.commons.lang3.text.StrBuilder,190
Lang,6f,org.apache.commons.lang3.Conversion,180
Lang,7f,org.apache.commons.lang3.Conversion,175
Lang,10f,org.apache.commons.lang3.StringUtils,159
Lang,8f,org.apache.commons.lang3.StringUtils,149
Lang,9f,org.apache.commons.lang3.StringUtils,137
Lang,9f,org.apache.commons.lang3.math.NumberUtils,110
Lang,8f,org.apache.commons.lang3.math.NumberUtils,100
Lang,10f,org.apache.commons.lang3.math.NumberUtils,97
Lang,7f,org.apache.commons.lang3.math.NumberUtils,92
Lang,6f,org.apache.commons.lang3.math.NumberUtils,90
Lang,8f,org.apache.commons.lang3.builder.ToStringStyle,79
Math,6f,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer,75
Lang,10f,org.apache.commons.lang3.builder.ToStringStyle,74
Math,10f,org.apache.commons.math3.analysis.differentiation.DSCompiler,66
Lang,9f,org.apache.commons.lang3.builder.ToStringStyle,63
Lang,10f,org.apache.commons.lang3.math.Fraction,60
Math,3f,org.apache.commons.math3.util.MathArrays,56
Lang,9f,org.apache.commons.lang3.math.Fraction,55
Lang,8f,org.apache.commons.lang3.math.Fraction,54
Lang,1f,org.apache.commons.lang3.math.NumberUtils,39
Lang,3f,org.apache.commons.lang3.math.NumberUtils,38
Math,5f,org.apache.commons.math3.complex.Complex,30
Lang,6f,org.apache.commons.lang3.builder.ToStringStyle,20
Math,1f,org.apache.commons.math3.fraction.BigFraction,18
Math,6f,org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer,18
Math,1f,org.apache.commons.math3.fraction.Fraction,13
Math,7f,org.apache.commons.math3.ode.AbstractIntegrator,7
Math,2f,org.apache.commons.math3.distribution.HypergeometricDistribution,7
Math,9f,org.apache.commons.math3.geometry.euclidean.threed.Line,4
Math,4f,org.apache.commons.math3.geometry.euclidean.twod.SubLine,4
Math,8f,org.apache.commons.math3.distribution.DiscreteDistribution,3
Lang,4f,org.apache.commons.lang3.text.translate.LookupTranslator,2
