detected,status,numberOfTestsRun,sourceFile,mutatedClass,mutatedMethod,methodDescription,lineNumber,mutator,indexes,blocks,killingTest,description,project,version,target_mode,source_xml,local_index,killed,mutant_id
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,splitByCharacterType,(Ljava/lang/String;Z)[Ljava/lang/String;,3084,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsTest.testSplitByCharacterType(org.apache.commons.lang3.StringUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1006,True,Lang_10f_full_1006
True,TIMED_OUT,0,StringUtils.java,org.apache.commons.lang3.StringUtils,splitByWholeSeparatorWorker,(Ljava/lang/String;Ljava/lang/String;IZ)[Ljava/lang/String;,2707,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,,,,Replaced integer addition with subtraction,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1024,False,Lang_10f_full_1024
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,splitByWholeSeparatorWorker,(Ljava/lang/String;Ljava/lang/String;IZ)[Ljava/lang/String;,2700,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsTest.testSplitByWholeSeparatorPreserveAllTokens_StringStringInt(org.apache.commons.lang3.StringUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1034,True,Lang_10f_full_1034
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,splitPreserveAllTokens,(Ljava/lang/String;C)[Ljava/lang/String;,2781,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,,,org.apache.commons.lang3.StringUtilsTest.testSplitPreserveAllTokens_StringChar(org.apache.commons.lang3.StringUtilsTest),replaced return value with null for org/apache/commons/lang3/StringUtils::splitPreserveAllTokens,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1039,True,Lang_10f_full_1039
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,splitPreserveAllTokens,(Ljava/lang/String;Ljava/lang/String;I)[Ljava/lang/String;,2904,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,,,org.apache.commons.lang3.StringUtilsTest.testSplitPreserveAllTokens_StringString_StringStringInt(org.apache.commons.lang3.StringUtilsTest),replaced return value with null for org/apache/commons/lang3/StringUtils::splitPreserveAllTokens,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1041,True,Lang_10f_full_1041
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,contains,(Ljava/lang/CharSequence;I)Z,1267,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,,,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContains_Char(org.apache.commons.lang3.StringUtilsEqualsIndexOfTest),replaced boolean return with true for org/apache/commons/lang3/StringUtils::contains,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,105,True,Lang_10f_full_105
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,splitWorker,(Ljava/lang/String;Ljava/lang/String;IZ)[Ljava/lang/String;,2956,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,,,org.apache.commons.lang3.StringUtilsTest.testSplitByWholeString_StringStringBooleanInt(org.apache.commons.lang3.StringUtilsTest),Changed increment from 1 to -1,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1061,True,Lang_10f_full_1061
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,splitWorker,(Ljava/lang/String;Ljava/lang/String;IZ)[Ljava/lang/String;,2942,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsTest.testSplitByWholeString_StringStringBooleanInt(org.apache.commons.lang3.StringUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1071,True,Lang_10f_full_1071
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,splitWorker,(Ljava/lang/String;Ljava/lang/String;IZ)[Ljava/lang/String;,3000,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsTest.testSplitByWholeString_StringStringBooleanInt(org.apache.commons.lang3.StringUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1085,True,Lang_10f_full_1085
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,startsWith,(Ljava/lang/CharSequence;Ljava/lang/CharSequence;Z)Z,6272,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,,,org.apache.commons.lang3.StringUtilsStartsEndsWithTest.testStartsWithIgnoreCase(org.apache.commons.lang3.StringUtilsStartsEndsWithTest),replaced boolean return with true for org/apache/commons/lang3/StringUtils::startsWith,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1099,True,Lang_10f_full_1099
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,stripEnd,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,531,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsTrimEmptyTest.testStripToEmpty_String(org.apache.commons.lang3.StringUtilsTrimEmptyTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1130,True,Lang_10f_full_1130
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,stripEnd,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,531,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsTrimEmptyTest.testStripToEmpty_String(org.apache.commons.lang3.StringUtilsTrimEmptyTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1131,True,Lang_10f_full_1131
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,stripEnd,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,537,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsTest.testLANG666(org.apache.commons.lang3.StringUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1134,True,Lang_10f_full_1134
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,stripStart,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,490,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,,,org.apache.commons.lang3.StringUtilsTrimEmptyTest.testStripStart_StringString(org.apache.commons.lang3.StringUtilsTrimEmptyTest),"replaced return value with """" for org/apache/commons/lang3/StringUtils::stripStart",Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1148,True,Lang_10f_full_1148
