mutant_id,project,version,class_name,method_name,line_number,mutation_operator,original_code,mutated_code,surrounding_context
MUT_0001,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,compare,,PrimitiveReturnsMutator,"return Byte.compare(x, y);","// PIT Mutated: replaced int return with 0 for org/apache/commons/lang3/math/NumberUtils::compare
return Byte.compare(x, y);","     */
    @Deprecated
    public static int compare(final byte x, final byte y) {
        return Byte.compare(x, y);
    }

    /**
"
MUT_0002,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,compare,,PrimitiveReturnsMutator,"return Integer.compare(x, y);","// PIT Mutated: replaced int return with 0 for org/apache/commons/lang3/math/NumberUtils::compare
return Integer.compare(x, y);","     */
    @Deprecated
    public static int compare(final int x, final int y) {
        return Integer.compare(x, y);
    }

    /**
"
MUT_0003,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,compare,,PrimitiveReturnsMutator,"return Long.compare(x, y);","// PIT Mutated: replaced int return with 0 for org/apache/commons/lang3/math/NumberUtils::compare
return Long.compare(x, y);","     */
    @Deprecated
    public static int compare(final long x, final long y) {
        return Long.compare(x, y);
    }

    /**
"
MUT_0004,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,compare,,PrimitiveReturnsMutator,"return Short.compare(x, y);","// PIT Mutated: replaced int return with 0 for org/apache/commons/lang3/math/NumberUtils::compare
return Short.compare(x, y);","     */
    @Deprecated
    public static int compare(final short x, final short y) {
        return Short.compare(x, y);
    }

    /**
"
MUT_0005,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,if (str == null) {,"// PIT Mutated: negated conditional
if (str == null) {","     * @throws NumberFormatException if the value cannot be converted.
     */
    public static BigDecimal createBigDecimal(final String str) {
        if (str == null) {
            return null;
        }
        // handle JDK1.3.1 bug where """" throws IndexOutOfBoundsException
"
MUT_0006,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,if (StringUtils.isBlank(str)) {,"// PIT Mutated: negated conditional
if (StringUtils.isBlank(str)) {","            return null;
        }
        // handle JDK1.3.1 bug where """" throws IndexOutOfBoundsException
        if (StringUtils.isBlank(str)) {
            throw new NumberFormatException(""A blank string is not a valid number"");
        }
        return new BigDecimal(str);
"
MUT_0007,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createBigDecimal,,NullReturnValsMutator,return new BigDecimal(str);,"// PIT Mutated: replaced return value with null for org/apache/commons/lang3/math/NumberUtils::createBigDecimal
return new BigDecimal(str);","        if (StringUtils.isBlank(str)) {
            throw new NumberFormatException(""A blank string is not a valid number"");
        }
        return new BigDecimal(str);
    }

    /**
"
MUT_0008,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,"} else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits","// PIT Mutated: changed conditional boundary
} else if (str.startsWith(""""0"""", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits","        } else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)
            radix = 16;
            pos++;
        } else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits
            radix = 8;
            pos++;
        } // default is to treat as decimal
"
MUT_0009,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,IncrementsMutator,pos += 2;,"// PIT Mutated: Changed increment from 2 to -2
pos += 2;","        }
        if (str.startsWith(""0x"", pos) || str.startsWith(""0X"", pos)) { // hex
            radix = 16;
            pos += 2;
        } else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)
            radix = 16;
            pos++;
"
MUT_0010,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,IncrementsMutator,pos++;,"// PIT Mutated: Changed increment from 1 to -1
pos++;","            pos += 2;
        } else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)
            radix = 16;
            pos++;
        } else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits
            radix = 8;
            pos++;
"
MUT_0011,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,IncrementsMutator,pos++;,"// PIT Mutated: Changed increment from 1 to -1
pos++;","            pos++;
        } else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits
            radix = 8;
            pos++;
        } // default is to treat as decimal
        final BigInteger value = new BigInteger(str.substring(pos), radix);
        return negate ? value.negate() : value;
"
MUT_0012,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,MathMutator,"} else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits","// PIT Mutated: Replaced integer addition with subtraction
} else if (str.startsWith(""""0"""", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits","        } else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)
            radix = 16;
            pos++;
        } else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits
            radix = 8;
            pos++;
        } // default is to treat as decimal
"
MUT_0013,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,if (str == null) {,"// PIT Mutated: negated conditional
if (str == null) {","     * @since 3.2
     */
    public static BigInteger createBigInteger(final String str) {
        if (str == null) {
            return null;
        }
        if (str.isEmpty()) {
"
MUT_0014,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,if (str.isEmpty()) {,"// PIT Mutated: negated conditional
if (str.isEmpty()) {","        if (str == null) {
            return null;
        }
        if (str.isEmpty()) {
            throw new NumberFormatException(""An empty string is not a valid number"");
        }
        int pos = 0; // offset within string
"
MUT_0015,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,if (char0 == '-') {,"// PIT Mutated: negated conditional
if (char0 == '-') {","        int radix = 10;
        boolean negate = false; // need to negate later?
        final char char0 = str.charAt(0);
        if (char0 == '-') {
            negate = true;
            pos = 1;
        } else if (char0 == '+') {
"
MUT_0016,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,} else if (char0 == '+') {,"// PIT Mutated: negated conditional
} else if (char0 == '+') {","        if (char0 == '-') {
            negate = true;
            pos = 1;
        } else if (char0 == '+') {
            pos = 1;
        }
        if (str.startsWith(""0x"", pos) || str.startsWith(""0X"", pos)) { // hex
"
MUT_0017,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,"if (str.startsWith(""0x"", pos) || str.startsWith(""0X"", pos)) { // hex","// PIT Mutated: negated conditional
if (str.startsWith(""""0x"""", pos) || str.startsWith(""""0X"""", pos)) { // hex","        } else if (char0 == '+') {
            pos = 1;
        }
        if (str.startsWith(""0x"", pos) || str.startsWith(""0X"", pos)) { // hex
            radix = 16;
            pos += 2;
        } else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)
"
MUT_0018,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,"if (str.startsWith(""0x"", pos) || str.startsWith(""0X"", pos)) { // hex","// PIT Mutated: negated conditional
if (str.startsWith(""""0x"""", pos) || str.startsWith(""""0X"""", pos)) { // hex","        } else if (char0 == '+') {
            pos = 1;
        }
        if (str.startsWith(""0x"", pos) || str.startsWith(""0X"", pos)) { // hex
            radix = 16;
            pos += 2;
        } else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)
"
MUT_0019,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,"} else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)","// PIT Mutated: negated conditional
} else if (str.startsWith(""""#"""", pos)) { // alternative hex (allowed by Long/Integer)","        if (str.startsWith(""0x"", pos) || str.startsWith(""0X"", pos)) { // hex
            radix = 16;
            pos += 2;
        } else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)
            radix = 16;
            pos++;
        } else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits
"
MUT_0020,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,"} else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits","// PIT Mutated: negated conditional
} else if (str.startsWith(""""0"""", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits","        } else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)
            radix = 16;
            pos++;
        } else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits
            radix = 8;
            pos++;
        } // default is to treat as decimal
"
MUT_0021,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,"} else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits","// PIT Mutated: negated conditional
} else if (str.startsWith(""""0"""", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits","        } else if (str.startsWith(""#"", pos)) { // alternative hex (allowed by Long/Integer)
            radix = 16;
            pos++;
        } else if (str.startsWith(""0"", pos) && str.length() > pos + 1) { // octal; so long as there are additional digits
            radix = 8;
            pos++;
        } // default is to treat as decimal
"
MUT_0022,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,return negate ? value.negate() : value;,"// PIT Mutated: negated conditional
return negate ? value.negate() : value;","            pos++;
        } // default is to treat as decimal
        final BigInteger value = new BigInteger(str.substring(pos), radix);
        return negate ? value.negate() : value;
    }

    /**
"
MUT_0023,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createBigInteger,,NullReturnValsMutator,return negate ? value.negate() : value;,"// PIT Mutated: replaced return value with null for org/apache/commons/lang3/math/NumberUtils::createBigInteger
return negate ? value.negate() : value;","            pos++;
        } // default is to treat as decimal
        final BigInteger value = new BigInteger(str.substring(pos), radix);
        return negate ? value.negate() : value;
    }

    /**
"
MUT_0024,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,if (str == null) {,"// PIT Mutated: negated conditional
if (str == null) {","     * @throws NumberFormatException if the value cannot be converted.
     */
    public static Double createDouble(final String str) {
        if (str == null) {
            return null;
        }
        return Double.valueOf(str);
"
MUT_0025,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createDouble,,EmptyObjectReturnValsMutator,return null;,"// PIT Mutated: replaced Double return value with 0 for org/apache/commons/lang3/math/NumberUtils::createDouble
return null;","     */
    public static Double createDouble(final String str) {
        if (str == null) {
            return null;
        }
        return Double.valueOf(str);
    }
"
MUT_0026,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createDouble,,EmptyObjectReturnValsMutator,return Double.valueOf(str);,"// PIT Mutated: replaced Double return value with 0 for org/apache/commons/lang3/math/NumberUtils::createDouble
return Double.valueOf(str);","        if (str == null) {
            return null;
        }
        return Double.valueOf(str);
    }

    /**
"
MUT_0027,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,if (str == null) {,"// PIT Mutated: negated conditional
if (str == null) {","     * @throws NumberFormatException if the value cannot be converted.
     */
    public static Float createFloat(final String str) {
        if (str == null) {
            return null;
        }
        return Float.valueOf(str);
"
MUT_0028,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createFloat,,EmptyObjectReturnValsMutator,return null;,"// PIT Mutated: replaced Float return value with 0 for org/apache/commons/lang3/math/NumberUtils::createFloat
return null;","     */
    public static Float createFloat(final String str) {
        if (str == null) {
            return null;
        }
        return Float.valueOf(str);
    }
"
MUT_0029,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createFloat,,EmptyObjectReturnValsMutator,return Float.valueOf(str);,"// PIT Mutated: replaced Float return value with 0 for org/apache/commons/lang3/math/NumberUtils::createFloat
return Float.valueOf(str);","        if (str == null) {
            return null;
        }
        return Float.valueOf(str);
    }

    /**
"
MUT_0030,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,if (str == null) {,"// PIT Mutated: negated conditional
if (str == null) {","     * @throws NumberFormatException if the value cannot be converted.
     */
    public static Integer createInteger(final String str) {
        if (str == null) {
            return null;
        }
        // decode() handles 0xAABD and 0777 (hex and octal) as well.
"
MUT_0031,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createInteger,,EmptyObjectReturnValsMutator,return null;,"// PIT Mutated: replaced Integer return value with 0 for org/apache/commons/lang3/math/NumberUtils::createInteger
return null;","     */
    public static Integer createInteger(final String str) {
        if (str == null) {
            return null;
        }
        // decode() handles 0xAABD and 0777 (hex and octal) as well.
        return Integer.decode(str);
"
MUT_0032,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createInteger,,EmptyObjectReturnValsMutator,return Integer.decode(str);,"// PIT Mutated: replaced Integer return value with 0 for org/apache/commons/lang3/math/NumberUtils::createInteger
return Integer.decode(str);","            return null;
        }
        // decode() handles 0xAABD and 0777 (hex and octal) as well.
        return Integer.decode(str);
    }

    /**
"
MUT_0033,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,NegateConditionalsMutator,if (str == null) {,"// PIT Mutated: negated conditional
if (str == null) {","     * @since 3.1
     */
    public static Long createLong(final String str) {
        if (str == null) {
            return null;
        }
        return Long.decode(str);
"
MUT_0034,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createLong,,EmptyObjectReturnValsMutator,return null;,"// PIT Mutated: replaced Long return value with 0L for org/apache/commons/lang3/math/NumberUtils::createLong
return null;","     */
    public static Long createLong(final String str) {
        if (str == null) {
            return null;
        }
        return Long.decode(str);
    }
"
MUT_0035,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,createLong,,EmptyObjectReturnValsMutator,return Long.decode(str);,"// PIT Mutated: replaced Long return value with 0L for org/apache/commons/lang3/math/NumberUtils::createLong
return Long.decode(str);","        if (str == null) {
            return null;
        }
        return Long.decode(str);
    }

    /**
"
MUT_0036,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (pfxLen > 0) { // we have a hex number,"// PIT Mutated: changed conditional boundary
if (pfxLen > 0) { // we have a hex number","                break;
            }
        }
        if (pfxLen > 0) { // we have a hex number
            char firstSigDigit = 0; // strip leading zeroes
            for (int i = pfxLen; i < length; i++) {
                firstSigDigit = str.charAt(i);
"
MUT_0037,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,for (int i = pfxLen; i < length; i++) {,"// PIT Mutated: changed conditional boundary
for (int i = pfxLen; i < length; i++) {","        }
        if (pfxLen > 0) { // we have a hex number
            char firstSigDigit = 0; // strip leading zeroes
            for (int i = pfxLen; i < length; i++) {
                firstSigDigit = str.charAt(i);
                if (firstSigDigit != '0') {
                    break;
"
MUT_0038,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (hexDigits > 16 || hexDigits == 16 && firstSigDigit > '7') { // too many for Long,"// PIT Mutated: changed conditional boundary
if (hexDigits > 16 || hexDigits == 16 && firstSigDigit > '7') { // too many for Long","                pfxLen++;
            }
            final int hexDigits = length - pfxLen;
            if (hexDigits > 16 || hexDigits == 16 && firstSigDigit > '7') { // too many for Long
                return createBigInteger(str);
            }
            if (hexDigits > 8 || hexDigits == 8 && firstSigDigit > '7') { // too many for an int
"
MUT_0039,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (hexDigits > 16 || hexDigits == 16 && firstSigDigit > '7') { // too many for Long,"// PIT Mutated: changed conditional boundary
if (hexDigits > 16 || hexDigits == 16 && firstSigDigit > '7') { // too many for Long","                pfxLen++;
            }
            final int hexDigits = length - pfxLen;
            if (hexDigits > 16 || hexDigits == 16 && firstSigDigit > '7') { // too many for Long
                return createBigInteger(str);
            }
            if (hexDigits > 8 || hexDigits == 8 && firstSigDigit > '7') { // too many for an int
"
MUT_0040,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (hexDigits > 8 || hexDigits == 8 && firstSigDigit > '7') { // too many for an int,"// PIT Mutated: changed conditional boundary
if (hexDigits > 8 || hexDigits == 8 && firstSigDigit > '7') { // too many for an int","            if (hexDigits > 16 || hexDigits == 16 && firstSigDigit > '7') { // too many for Long
                return createBigInteger(str);
            }
            if (hexDigits > 8 || hexDigits == 8 && firstSigDigit > '7') { // too many for an int
                return createLong(str);
            }
            return createInteger(str);
"
MUT_0041,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (hexDigits > 8 || hexDigits == 8 && firstSigDigit > '7') { // too many for an int,"// PIT Mutated: changed conditional boundary
if (hexDigits > 8 || hexDigits == 8 && firstSigDigit > '7') { // too many for an int","            if (hexDigits > 16 || hexDigits == 16 && firstSigDigit > '7') { // too many for Long
                return createBigInteger(str);
            }
            if (hexDigits > 8 || hexDigits == 8 && firstSigDigit > '7') { // too many for an int
                return createLong(str);
            }
            return createInteger(str);
"
MUT_0042,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (decPos > -1) { // there is a decimal point,"// PIT Mutated: changed conditional boundary
if (decPos > -1) { // there is a decimal point","        // and the parsing which will detect if e or E appear in a number due to using the wrong offset
        // Detect if the return type has been requested
        final boolean requestType = !Character.isDigit(lastChar) && lastChar != '.';
        if (decPos > -1) { // there is a decimal point
            if (expPos > -1) { // there is an exponent
                if (expPos <= decPos || expPos > length) { // prevents double exponent causing IOOBE
                    throw new NumberFormatException(str + "" is not a valid number."");
"
MUT_0043,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (expPos > -1) { // there is an exponent,"// PIT Mutated: changed conditional boundary
if (expPos > -1) { // there is an exponent","        // Detect if the return type has been requested
        final boolean requestType = !Character.isDigit(lastChar) && lastChar != '.';
        if (decPos > -1) { // there is a decimal point
            if (expPos > -1) { // there is an exponent
                if (expPos <= decPos || expPos > length) { // prevents double exponent causing IOOBE
                    throw new NumberFormatException(str + "" is not a valid number."");
                }
"
MUT_0044,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (expPos <= decPos || expPos > length) { // prevents double exponent causing IOOBE,"// PIT Mutated: changed conditional boundary
if (expPos <= decPos || expPos > length) { // prevents double exponent causing IOOBE","        final boolean requestType = !Character.isDigit(lastChar) && lastChar != '.';
        if (decPos > -1) { // there is a decimal point
            if (expPos > -1) { // there is an exponent
                if (expPos <= decPos || expPos > length) { // prevents double exponent causing IOOBE
                    throw new NumberFormatException(str + "" is not a valid number."");
                }
                dec = str.substring(decPos + 1, expPos);
"
MUT_0045,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (expPos <= decPos || expPos > length) { // prevents double exponent causing IOOBE,"// PIT Mutated: changed conditional boundary
if (expPos <= decPos || expPos > length) { // prevents double exponent causing IOOBE","        final boolean requestType = !Character.isDigit(lastChar) && lastChar != '.';
        if (decPos > -1) { // there is a decimal point
            if (expPos > -1) { // there is an exponent
                if (expPos <= decPos || expPos > length) { // prevents double exponent causing IOOBE
                    throw new NumberFormatException(str + "" is not a valid number."");
                }
                dec = str.substring(decPos + 1, expPos);
"
MUT_0046,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (expPos > -1) {,"// PIT Mutated: changed conditional boundary
if (expPos > -1) {","            }
            mant = getMantissa(str, decPos);
        } else {
            if (expPos > -1) {
                if (expPos > length) { // prevents double exponent causing IOOBE
                    throw new NumberFormatException(str + "" is not a valid number."");
                }
"
MUT_0047,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (expPos > length) { // prevents double exponent causing IOOBE,"// PIT Mutated: changed conditional boundary
if (expPos > length) { // prevents double exponent causing IOOBE","            mant = getMantissa(str, decPos);
        } else {
            if (expPos > -1) {
                if (expPos > length) { // prevents double exponent causing IOOBE
                    throw new NumberFormatException(str + "" is not a valid number."");
                }
                mant = getMantissa(str, expPos);
"
MUT_0048,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,,,ConditionalsBoundaryMutator,if (expPos > -1 && expPos < length - 1) {,"// PIT Mutated: changed conditional boundary
if (expPos > -1 && expPos < length - 1) {","            dec = null;
        }
        if (requestType) {
            if (expPos > -1 && expPos < length - 1) {
                exp = str.substring(expPos + 1, length - 1);
            } else {
                exp = null;
"
