id,title,authors,year,venue,search_strings,v1_decision,v1_reason
1,"On Comparing Mutation Testing Tools through Learning-based Mutant Selection","M. Ojdanic et al.",2023,"IEEE/ACM AST","String A",INCLUDE,"IC1-IC5 OK; on-topic (I): learning-based mutant selection vs standard"
2,"DeepCrime: from Real Faults to Mutation Testing Tool for Deep Learning","N. Humbatova; G. Jahangirova; P. Tonella",2023,"ICSE-Companion","String A; String C",EXCLUDE,"EC4 - mutation testing OF deep-learning systems, not AI-guided mutant selection for code-level MT"
3,"Mutation Testing Reinvented: How Artificial Intelligence Complements Classic Methods","S. Uzunbayir; K. Kurtel",2024,"UBMK","String A",EXCLUDE,"IC5 - review/overview, no own empirical comparison with numbers"
4,"What Are We Really Testing in Mutation Testing for Machine Learning? A Critical Reflection","A. Panichella; C. C. S. Liem",2021,"ICSE-NIER","String A",EXCLUDE,"EC4 - position paper on MT for ML; not AI-guided mutant selection"
5,"An Experimental Tool for Search-Based Mutation Testing","M. B. Bashir; A. Nadeem",2018,"FIT","String A; String C",EXCLUDE,"EC4 - search-based test-CASE generation for MT, not mutant selection/reduction"
6,"An Extensive Study on Cross-Project Predictive Mutation Testing","D. Mao; L. Chen; L. Zhang",2019,"ICST","String A",INCLUDE,"IC1-IC5 OK; on-topic (I): ML/DL predictive mutant killing -> cost reduction"
7,"Cerebro: Static Subsuming Mutant Selection","A. Garg et al.",2023,"IEEE TSE","String A; String B",INCLUDE,"IC1-IC5 OK; on-topic (I): ML static subsuming mutant selection vs random; C+Java"
8,"Mutant Selection Strategies in Mutation Testing","R. Pitts",2023,"ICCQ","String A; String B",INCLUDE,"IC1-IC5 OK; on-topic (C): compares selection strategies vs random; Java (java.lang)"
9,"Learning-based Mutant Reduction Using Fine-grained Mutation Operators","Y. Kim; S. Hong",2022,"ICST","String A",EXCLUDE,"EC3 - extended abstract (1 page, SP=EP=464); full journal STVR version exists but is not in this export"
10,"DeepMutation++: A Mutation Testing Framework for Deep Learning Systems","Q. Hu et al.",2019,"ASE","String A",EXCLUDE,"EC4 - mutation testing OF DNN/RNN systems"
11,"On the implementation of search based approach to mutation testing","M. Tuloli; B. Sitohang; B. Hendradjaya",2017,"ICoDSE","String A; String C",EXCLUDE,"IC2 - published 2017 (before 2018 cut-off)"
12,"Manifesting Bugs in Machine Learning Code: An Explorative Study with Mutation Testing","D. Cheng; C. Cao; C. Xu; X. Ma",2018,"QRS","String A",EXCLUDE,"EC4 - mutating ML algorithm implementations, not AI-guided mutant selection"
13,"TF-DM: Tool for Studying ML Model Resilience to Data Faults","N. Narayanan; K. Pattabiraman",2021,"DeepTest","String A",EXCLUDE,"EC4 - data mutation for ML resilience"
14,"State of art in the field of Search-based Mutation Testing","N. Jatana; S. Rani; B. Suri",2015,"ICRITO","String A",EXCLUDE,"IC2 - published 2015 (also a survey)"
