id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
171,PRIMG : Efficient LLM-driven Test Generation Using Mutant Prioritization,Mohamed Salah Bouafif and Mohammad Hamdaqa and Edward Zulkoski,2025,"Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025",String B,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
116,Large Language Models for Equivalent Mutant Detection: How Far Are We?,Zhao Tian and Honglin Shu and Dong Wang and Xuejie Cao and Yasutaka Kamei and Junjie Chen,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
153,"Are mutants really natural?: A study on how ""naturalness"" helps mutant selection",Matthieu Jimenez and Thiery Titcheu Checkam and Maxime Cordy and Mike Papadakis and Marinos Kintis and Yves Le Traon and Mark Harman,2018,International Symposium on Empirical Software Engineering and Measurement,String B,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
169,LEAM++: Learning for Selective Mutation Fault Construction,Zhao Tian and Junjie Chen and Dong Wang and Qihao Zhu and Xingyu Fan and Lingming Zhang,2025,ACM Transactions on Software Engineering and Methodology,String B,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
140,Spotting Code Mutation for Predictive Mutation Testing,Yifan Zhao and Yizhou Chen and Zeyu Sun and Qingyuan Liang and Guoqing Wang and Dan Hao,2024,"Proceedings - 2024 39th ACM/IEEE International Conference on Automated Software Engineering, ASE 2024",String B,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
85,Contextual Predictive Mutation Testing,Kush Jain and Uri Alon and Alex Groce and Claire Le Goues,2023,ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String A,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
167,Mutation Testing in Evolving Systems: Studying the Relevance of Mutants to Code Evolution,Milos Ojdanic and Ezekiel Soremekun and Renzo Degiovanni and Mike Papadakis and Yves Le Traon,2023,ACM Transactions on Software Engineering and Methodology,String B,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
77,Learning to Construct Better Mutation Faults,Zhao Tian and Junjie Chen and Qihao Zhu and Junjie Yang and Lingming Zhang,2022,ACM International Conference Proceeding Series,String A,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
165,Predictive Mutation Analysis via the Natural Language Channel in Source Code,Jinhan Kim and Juyoung Jeon and Shin Hong and Shin Yoo,2022,ACM Transactions on Software Engineering and Methodology,String B,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
164,MuDelta: Delta-oriented mutation testing at commit time,Wei Ma and Thierry Titcheu Chekam and Mike Papadakis and Mark Harman,2021,Proceedings - International Conference on Software Engineering,String B,INCLUDE,INCLUDE (?? IC1–IC5),INCLUDE," ??c full-text: ?úng AI-guided mutant selection/prediction, có s? li?u"
